Nome,parametro,valor
navanhanda,Kt-11,0
navanhanda,Kt-12,0
navanhanda,Kt-13,0
navanhanda,Kt-14,0
navanhanda,Kt-15,0
navanhanda,Kt-16,0
navanhanda,Kt-17,0
navanhanda,Kt-18,0
navanhanda,Kt-19,0
navanhanda,Kt-20,0
navanhanda,Kt-21,0
navanhanda,Kt-22,0
navanhanda,Kt-23,0
navanhanda,Kt-24,0
navanhanda,Kt-25,0
navanhanda,Kt-26,0
navanhanda,Kt-27,0
navanhanda,Kt-28,0
navanhanda,Kt-29,0
navanhanda,Kt-30,0
navanhanda,Kt-31,0
navanhanda,Kt-32,0
navanhanda,Kt-33,0
navanhanda,Kt-34,0
navanhanda,Kt-35,0
navanhanda,Kt-36,0
navanhanda,Kt-37,0
navanhanda,Kt-38,0
navanhanda,Kt-39,0
navanhanda,Kt-40,0
navanhanda,Kt-41,0
navanhanda,Kt-42,0
navanhanda,Kt-43,0
navanhanda,Kt-44,0
navanhanda,Kt-45,0
navanhanda,Kt-46,0
navanhanda,Kt-47,0
navanhanda,Kt-48,0
navanhanda,Kt-49,0
navanhanda,Kt-50,0
navanhanda,Kt-51,0
navanhanda,Kt-52,0
navanhanda,Kt-53,0
navanhanda,Kt-54,0
navanhanda,Kt-55,0
navanhanda,Kt-56,0
navanhanda,Kt-57,0
navanhanda,Kt-58,0
navanhanda,Kt-59,0
navanhanda,Kt-60,0
navanhanda,Str,463.137263523049
navanhanda,K2t,2.90361527770029
navanhanda,Crec,0.521402500608802
navanhanda,Ai,0.1
navanhanda,Capc,0
navanhanda,K_kt,380.109287909724
navanhanda,K2t2,4.53082160784778
navanhanda,H1,7.33802170956651
navanhanda,H,200
navanhanda,K3t,10
navanhanda,K1t,10
navanhanda,Ecof,1.68165536276417
navanhanda,Pcof,1.17021807567014
navanhanda,Ecof2,0
navanhanda,ktMin,3
navanhanda,ktMax,2
pimentalt,Area,447719
pimentalt,nKt,63
pimentalt,Kt2,0.0571719913241992
pimentalt,Kt1,0.0401961292127302
pimentalt,Kt0,0.0328319346076216
pimentalt,Kt-1,0.0284911706887445
pimentalt,Kt-2,0.0255543473099468
pimentalt,Kt-3,0.0234030169853383
pimentalt,Kt-4,0.0217431874047745
pimentalt,Kt-5,0.0204149280904717
pimentalt,Kt-6,0.0193228241272792
pimentalt,Kt-7,0.0184059779926977
pimentalt,Kt-8,0.0176234656352534
pimentalt,Kt-9,0.0169466419911718
pimentalt,Kt-10,0.0163547840303814
pimentalt,Kt-11,0.0158324854552749
pimentalt,Kt-12,0.0153680275078209
pimentalt,Kt-13,0.0149523213000671
pimentalt,Kt-14,0.0145781989896101
pimentalt,Kt-15,0.0142399255747406
pimentalt,Kt-16,0.0139328545615195
pimentalt,Kt-17,0.0136531800017721
pimentalt,Kt-18,0.013397754628574
pimentalt,Kt-19,0.0131639542904363
pimentalt,Kt-20,0.0129495754354253
pimentalt,Kt-21,0.0127527565962756
pimentalt,Kt-22,0.012571917581852
pimentalt,Kt-23,0.0124057119239604
pimentalt,Kt-24,0.012252989385947
